section,bin1,bin2,n_obs,sse_bs,sse_sabr,sse_bartlett,mse_bs,mse_sabr,mse_bartlett,gain_sabr_vs_bs,gain_bart_vs_bs,relgain_bart_vs_sabr
BUCKET,3,2,711.0,188847.44302735216,207739.50393832935,143308.23627441365,265.6082180412829,292.1793304336559,201.55870080789543,-0.10003874348587782,0.24114282948667054,0.31015414229083316
BUCKET,3,3,645.0,179292.99073637353,207595.15617015702,120549.29375151612,277.9736290486411,321.852955302569,186.89812984731182,-0.15785427705535948,0.3276407892109524,0.4193058452062006
BUCKET,3,4,560.0,160119.56772093748,192341.6915562937,114905.0314510396,285.9277995016741,343.46730635052444,205.1875561625707,-0.201237889247329,0.2823798297326128,0.4025994545368251
BUCKET,3,5,598.0,149540.00407297054,182335.7885582882,99142.38897578386,250.06689644309455,304.90934541519766,165.7899481200399,-0.21931111135528925,0.33701761217415993,0.4562647861964273
BUCKET,3,6,378.0,112654.67612916123,130932.6772844346,76414.5598873694,298.02824372793975,346.38274413871585,202.15492033695608,-0.16224804671505333,0.32169207250874965,0.4163828199940609
BUCKET,3,7,105.0,35870.69086425986,43118.15944826403,23990.33026126667,341.6256272786653,410.64913760251454,228.47933582158734,-0.20204429882406494,0.33119965957584363,0.44361423195598526
BUCKET,4,1,1918.0,992393.5916323843,1077219.736294353,854154.298503428,517.4106317165716,561.6369845121757,445.3359220560104,-0.08547631239983966,0.13929885712136358,0.20707514936392857
BUCKET,4,2,750.0,353486.38978342054,408215.851715018,285079.82807256153,471.31518637789407,544.2878022866906,380.10643743008205,-0.15482763555657675,0.19351964796373455,0.3016443950550447
BUCKET,4,3,703.0,363929.0622742146,445462.0270103186,267610.09978954634,517.6800316845157,633.6586443959013,380.66870524828784,-0.22403532223175482,0.2646641130630383,0.3992527228738456
BUCKET,4,4,625.0,316504.6581112521,386744.6984763418,246429.4807412535,506.4074529780034,618.7915175621469,394.2871691860056,-0.22192419152453713,0.2214033050514127,0.36281096622109676
BUCKET,4,5,624.0,303034.1310095032,377344.5202656165,223138.01062588097,485.6316202075372,604.7187824769495,357.59296574660414,-0.24522118682988503,0.26365386670294466,0.4086623797562716
BUCKET,4,6,464.0,241545.60697103152,296164.4545392537,180485.98806859803,520.5724288168783,638.2854623690813,388.9784225616337,-0.226122297371248,0.2527871223497612,0.39058862296833674
BUCKET,4,7,126.0,80285.2026524636,100036.40009120348,58020.94530643429,637.1841480354254,793.9396832635197,460.48369290820864,-0.24601292375431028,0.2773145811489849,0.4200016668578995
BUCKET,5,1,2097.0,1680401.0814963838,1864753.1113801706,1516357.9194101826,801.3357565552617,889.2480264092372,723.1082114497772,-0.10970715974523348,0.09762143329503337,0.18683180622883
BUCKET,5,2,820.0,593459.8564814064,699673.5055122664,506515.7060889764,723.731532294398,853.2603725759346,617.7020805963127,-0.17897360347268543,0.14650384426659868,0.27606847751347885
BUCKET,5,3,759.0,613986.3743954524,760459.5121336691,493331.50971117977,808.9412047370915,1001.9229408875746,649.9756386181551,-0.23856089295538196,0.19651065514779986,0.3512718273100319
BUCKET,5,4,706.0,574430.5708922454,695888.9629484387,474791.7561784862,813.641035258138,985.6784177739925,672.5095696579125,-0.21144137901215054,0.1734566712892618,0.3177190881619637
