date,D_days,tau,n_strikes,alpha,rho,nu,vol_rmse
2023-02-02,1,0.0027397260273972,55,0.29999164248009536,0.999,5.0,0.13858639049043792
2023-02-02,4,0.010958904109589,34,0.16558239260291144,0.6395505076033752,5.0,0.030178578988465207
2023-02-02,5,0.0136986301369863,40,0.15982669817862374,0.3378277255515911,5.0,0.024692855342862568
2023-02-02,6,0.0164383561643835,44,0.16316805647474686,0.2922469938837637,3.940875011212437,0.016553105775973537
2023-02-02,7,0.0191780821917808,50,0.16140388415889925,0.21790857678433187,4.105149374348463,0.018938604497560702
2023-02-02,8,0.021917808219178,69,0.1496391166990852,0.07867412052521298,4.698459026996694,0.02024838593013271
2023-02-02,11,0.0301369863013698,56,0.14654470844544393,0.2012076983957841,3.0284155568487026,0.012978994083593919
2023-02-02,12,0.0328767123287671,63,0.16806923481791147,0.2043231190094803,2.7570226365139607,0.016823505883882296
2023-02-02,13,0.0356164383561643,64,0.17124321561453099,0.23173337634410635,1.9163324823713868,0.013808111907554951
2023-02-02,14,0.0383561643835616,71,0.17309620431107256,0.08242593050247354,2.240174084850324,0.01309684510780359
2023-02-02,15,0.0410958904109589,352,0.13287048932837608,-0.15005307046458813,4.375317694336337,0.031879489536215076
2023-02-02,19,0.0520547945205479,66,0.15625071462304477,0.042681249527531,1.9871279510011068,0.011426309789930861
2023-02-02,20,0.0547945205479452,77,0.15731373743920624,-0.07068063626099486,1.6947126312856045,0.009234088706499909
2023-02-02,21,0.0575342465753424,63,0.15234835582334258,-0.20018862828461897,2.4352421721212765,0.006338026296134043
2023-02-02,22,0.0602739726027397,113,0.15532396044953797,-0.11850571502816136,2.086021328305053,0.011846290984193777
2023-02-02,25,0.0684931506849315,86,0.1521872780448247,-0.10327245971508624,1.737031506462573,0.010670844759694128
2023-02-02,26,0.0712328767123287,157,0.14426629326539575,-0.21590998046979784,1.8679778533903881,0.011491426340805168
2023-02-02,27,0.073972602739726,44,0.15054213929497312,-0.2550104325683123,1.7933155819633737,0.008053069181636887
2023-02-02,28,0.0767123287671232,48,0.1528785654415063,-0.2522272149415486,1.890664990770117,0.00862596648475596
2023-02-02,29,0.0794520547945205,117,0.15313526714088213,-0.296416493374385,1.785034719564015,0.009539118152892693
2023-02-02,32,0.0876712328767123,88,0.14794102726228836,-0.2778675516074731,1.8757863478400925,0.006805967784787926
2023-02-02,36,0.0986301369863013,82,0.1554910971689612,-0.3778134355946112,1.7499700709247812,0.009470632065059723
2023-02-02,43,0.1178082191780822,502,0.14767240921086694,-0.2695278948421353,2.1347821924819015,0.018963909301425247
2023-02-02,50,0.136986301369863,65,0.16949775424353114,-0.48891800288767906,1.441633029885297,0.009095058417118173
2023-02-02,57,0.1561643835616438,285,0.16267013779365802,-0.4326451062041736,1.544905891044086,0.014453037504597708
2023-02-02,78,0.2136986301369863,490,0.1620337083349062,-0.5167603892139835,1.5634548267387718,0.010060830416136446
2023-02-02,85,0.2328767123287671,272,0.16380327067792205,-0.6446359601681187,1.4863129282088108,0.004800801788163879
2023-02-02,106,0.2904109589041095,459,0.16645224536585632,-0.5658436187850374,1.3084260084217694,0.011760614670594983
2023-02-02,118,0.3232876712328767,139,0.16650674460537496,-0.6871710271667436,1.1949050922857818,0.005808567282657881
2023-02-02,134,0.3671232876712328,438,0.1690585860021564,-0.6261750985900912,1.18470863975291,0.008921884890740979
2023-02-02,148,0.4054794520547945,292,0.17113232672720824,-0.7225142290155855,1.1309693465253856,0.006621196246528211
2023-02-02,169,0.4630136986301369,186,0.17212459426667104,-0.6996055842991663,1.1201026827845235,0.006591556198827052
2023-02-02,179,0.4904109589041096,123,0.17610479097129952,-0.7708189809836808,0.9698915985860113,0.007996796211834762
2023-02-02,197,0.5397260273972603,117,0.17370519739589985,-0.7079434119227543,0.9807806528311327,0.01115837121783009
2023-02-03,3,0.0082191780821917,51,0.1244839305343184,0.8289055847947656,5.0,0.059555340989512186
2023-02-03,4,0.010958904109589,70,0.14713468475779892,0.30513380755062147,5.0,0.03369647427513726
2023-02-03,5,0.0136986301369863,81,0.14593847000491786,0.06907317339211971,5.0,0.01733597914193157
2023-02-03,6,0.0164383561643835,101,0.15462687936433367,-0.16752618449066886,5.0,0.019834875571369422
2023-02-03,7,0.0191780821917808,103,0.1473825121195155,-0.020637827518451404,5.0,0.02109752266991899
2023-02-03,10,0.0273972602739726,86,0.1369191769604095,0.08037349639606423,3.478348218816279,0.015386129106358159
2023-02-03,11,0.0301369863013698,90,0.16449942044035268,0.03959358783778753,3.2428032869023258,0.015458544636189196
2023-02-03,12,0.0328767123287671,94,0.16852739646352882,-0.037282995564250736,2.2970574944936453,0.012873350448168073
2023-02-03,13,0.0356164383561643,105,0.16852540353462592,-0.20573001237148633,3.0677509909641474,0.0077181023134719785
2023-02-03,14,0.0383561643835616,411,0.13333087033546154,-0.1832558419363843,4.600779192166955,0.035153244216158425
2023-02-03,18,0.0493150684931506,85,0.15670298933963572,-0.22460988679750635,2.479261006652568,0.008749543646088546
2023-02-03,19,0.0520547945205479,96,0.15705246020291985,-0.31093082510158243,2.4107618609770665,0.005375095447525771
2023-02-03,20,0.0547945205479452,82,0.15753336405504645,-0.35169541727236553,2.7167988571673125,0.004748168087505118
2023-02-03,21,0.0575342465753424,144,0.15792841734731725,-0.3219072152091387,2.526033147623945,0.006929224379248202
2023-02-03,24,0.0657534246575342,99,0.15221055420241827,-0.3540701937345734,2.3794643062526917,0.004980115706330946
2023-02-03,25,0.0684931506849315,184,0.15029630305707678,-0.3736653466590499,2.174428648899389,0.007556012537395289
2023-02-03,26,0.0712328767123287,81,0.1541451376852313,-0.4135392748145893,2.203421389670032,0.003774024812964471
2023-02-03,27,0.073972602739726,52,0.15508572449540717,-0.39751971108462936,2.3344577748638233,0.0052641639790728546
2023-02-03,28,0.0767123287671232,141,0.15640869608140698,-0.42941718229460785,2.1964676705606823,0.004394073640612452
2023-02-03,31,0.084931506849315,100,0.15121687864904676,-0.4252028459404962,2.220285382846275,0.0037488996676067763
2023-02-03,35,0.0958904109589041,95,0.15786975761787309,-0.45791772036173367,2.180198541984712,0.003957190425059853
2023-02-03,38,0.1041095890410958,48,0.15456929934251812,-0.4847391645046847,2.085551788910262,0.0026315349428681785
2023-02-03,42,0.1150684931506849,592,0.15395656161903007,-0.3697062593588808,2.260262301690387,0.016705235634777417
2023-02-03,49,0.1342465753424657,70,0.170052017544735,-0.5697241597455889,1.854171609156714,0.002165305578409222
2023-02-03,56,0.1534246575342465,330,0.16636378142398134,-0.5422763595916359,1.8547853582808822,0.005751446668441778
2023-02-03,77,0.210958904109589,528,0.16402660766632213,-0.6060394741473915,1.846643486280984,0.004986536909935415
2023-02-03,84,0.2301369863013698,280,0.16444361772849803,-0.6174775487763857,1.8148298780312075,0.005260972322667622
2023-02-03,105,0.2876712328767123,488,0.1680413770037679,-0.6409116421204136,1.5842780931130205,0.00439544289093805
2023-02-03,117,0.3205479452054794,147,0.1688065614562663,-0.6687506015611929,1.4135677063504937,0.0014418455912986522
2023-02-03,133,0.3643835616438356,455,0.17169286287379512,-0.6765560533040134,1.4029997999536903,0.0039091928429841865
2023-02-03,147,0.4027397260273972,305,0.17041780616048338,-0.6700125958558149,1.401414277244563,0.004633271357720417
2023-02-03,168,0.4602739726027397,194,0.17201500757779742,-0.7113654608467244,1.3818986655650844,0.006779279297664975
2023-02-03,178,0.4876712328767123,125,0.17212180200775787,-0.6834952785572126,1.3368170425858663,0.005173904220309474
2023-02-03,196,0.536986301369863,120,0.17542907368272878,-0.7219406043302968,1.205945242847877,0.003738425869187927
2023-02-06,1,0.0027397260273972,77,0.26122290786558433,0.999,5.0,0.1484691260510225
2023-02-06,2,0.0054794520547945,73,0.2014882799246091,0.4898498843313852,5.0,0.054325953347103904
2023-02-06,3,0.0082191780821917,157,0.28633096782929435,-0.7573629753401186,5.0,0.20241415470882274
2023-02-06,4,0.010958904109589,81,0.19012628197761997,0.31805360768327673,5.0,0.047022921247992795
2023-02-06,7,0.0191780821917808,85,0.1402795239716938,-0.015591196956478199,4.682633473979702,0.020541850065305234
2023-02-06,8,0.021917808219178,104,0.17504975392664368,-0.05672066036584542,3.9864974571535146,0.02213321048807589
2023-02-06,9,0.0246575342465753,100,0.1816951095962382,-0.048894913538296544,2.787042268986451,0.015972702339256798
2023-02-06,10,0.0273972602739726,122,0.18001320350118466,-0.13727437171656265,3.4048124483778546,0.017864205194106655
2023-02-06,11,0.0301369863013698,422,0.14907677024072813,-0.13563070113547965,5.0,0.042677683220113664
